Restaurant,Cuisines,Ratings,Votes,Cost For Two
Elixir Bistro Cafe,"Healthy Food, Fast Food",0.0,0,100
Be Hungry,Maharashtrian,0.0,0,300
Apsara Ice Creams,"Ice Cream, Desserts",3.6,19,200
Krishna Glory Restaurant And Ice Cream Corner,"Chinese, North Indian",0.0,0,300
Black Town Chinese And Fast Food,"Chinese, North Indian",2.9,7,300
Monginis,"Bakery, Fast Food",2.7,18,300
Shere Punjab,"North Indian, Chinese",3.1,5,400
Garib Nawaz Hotel And Caterers,North Indian,0.0,0,200
Celebrations Hotel,"North Indian, Chinese",3.4,24,700
The Bake Shop,"Bakery, Desserts",3.5,47,300
Chow Ming,Chinese,0.0,0,200
JFC Jahagirdar Chinese,Chinese,0.0,0,300
Dhaba Swad,"North Indian, Chinese, Biryani",2.6,16,350
Hotel Mayur,"North Indian, Chinese",3.7,107,800
Souffle,Bakery,0.0,0,350
Ansh Palace,"North Indian, Chinese, Seafood",3.4,21,750
Bollywood Chinese Restaurant,"Chinese, North Indian",0.0,0,150
Krazy Eggs & Fries,"Fast Food, North Indian",3.7,82,400
Tasty Cafe,"Fast Food, Street Food",0.0,0,200
Casa De Tandoor,North Indian,3.0,8,350
The London Shakes,"Beverages, Mexican, Fast Food, Italian, Desserts",2.6,49,600
Oyalo,Italian,3.1,14,200
Hotel Ambrosia,North Indian,3.4,32,700
Food Studio,Fast Food,3.6,62,400
Coffee Dates,"Burger, Pizza, Coffee",0.0,0,500
Urban Desi,"North Indian, Chinese, Fast Food",0.0,0,300
Tandoor's Corner,"Fast Food, North Indian, Biryani, Chinese, Pizza, Beverages",3.0,5,500
Crazy Eggs,Fast Food,3.4,28,250
Krazy Bites,"Chinese, Fast Food, Beverages",0.0,0,350
Tibbs Frankie,Fast Food,3.2,10,300
The Hunger Joint,Fast Food,3.5,60,150
Hotel Ashoka Restaurant And Bar,"North Indian, Chinese, Mughlai",0.0,0,600
The Muffin Man,Bakery,3.3,21,300
Twinkling Cakes,Bakery,0.0,0,200
Jai Balaji Nasta House,Street Food,0.0,0,100
Guru Fast Food,"Fast Food, Street Food",0.0,0,200
Hotel Falcon,"Chinese, North Indian, Mughlai, South Indian",3.5,40,900
Annu Bakes,Bakery,0.0,0,250
Hotel Pinto Park,"Chinese, North Indian",3.6,118,800
Regency,"North Indian, Seafood, Chinese, Malwani",3.5,57,1000
Bismillah Juice Centre Thick Shakes & Ice Cream,"Beverages, Juices, Ice Cream",0.0,0,500
1975 The Chicken Company,Fast Food,0.0,0,300
Gunchiiis Cakes & Desserts Studio,Bakery,3.5,53,350
Brewville Cafe,"Fast Food, Pizza, Burger, Coffee, Sandwich",3.3,15,400
Spicy Fusion,"North Indian, Chinese",0.0,0,1000
Cheers Family Restaurant And Bar,"North Indian, Malwani, Chinese",0.0,0,750
Jai Mata Di Butter Papdi Corner,Street Food,3.5,42,100
Bashamal Nasta House,Sindhi,0.0,0,100
Narayan Food Court,Chinese,0.0,0,300
Jai Shankar Veg Restaurant,"South Indian, North Indian",3.2,11,500
Shree Shyam Sunder,Mithai,3.1,9,300
Hotel Praveen International,"North Indian, Chinese",2.9,20,1200
Sai Fast Food,"Fast Food, Chinese, North Indian",3.0,15,500
Shankar Dalwala's - New Delhi Nasta House,Sindhi,0.0,0,150
Mangalmurti Chinese Corner,Chinese,2.5,25,350
Vintage Kaka Ka Dhaba,"North Indian, Chinese",3.1,16,500
Noodle In Box,Chinese,3.5,42,500
KSP Kitchen Spices Restaurant,"South Indian, North Indian, Street Food",0.0,0,300
Aashirwad Hotel,"North Indian, Chinese",0.0,0,400
Annus Snacks Shelter,North Indian,0.0,0,200
Shyam Sunder Sweets,Mithai,0.0,0,250
New Bangalore Iyengar Bakery,Fast Food,0.0,0,150
Sachin's Family Restaurant,"North Indian, South Indian, Biryani, Chinese",0.0,0,800
Bollywood Cafe And Juice Bar,"Cafe, Fast Food",0.0,0,450
New Neelam,"Chinese, North Indian",3.2,13,600
Vaishnu Hotel,"Chinese, North Indian",3.1,6,500
Good Time Cafe,"Fast Food, Juices",0.0,0,300
Maharaja Fresh & Tasty Food,"Chinese, North Indian",0.0,0,400
Kishan Pav Bhaji,Maharashtrian,0.0,0,200
Silly Mittens,Desserts,0.0,0,400
Vasudev Chaat Corner,Street Food,0.0,0,200
Hari Om Sweets & Dry Fruits The Cake Shop,"Mithai, Bakery, Desserts",0.0,0,250
Jewel's Resto Bar,"Bar Food, North Indian, Chinese, Continental",0.0,0,1500
Gurudev Hotel Family Restaurant,"North Indian, Fast Food",3.1,5,400
The Cake Ferry,"Bakery, Desserts",0.0,0,300
Balaji Fast Food,Fast Food,3.3,9,200
Dhaba Cafe,"North Indian, Street Food, Fast Food",3.5,131,500
Hotel Abbu's Restaurant & Bar,"North Indian, Chinese, Seafood",3.3,18,800
Jashan Bar & Restaurant,"North Indian, Seafood, Biryani",3.2,13,500
Cafe Nine,"Fast Food, Beverages",2.9,11,350
Royal Food Divine,"Fast Food, Street Food, Beverages, Desserts",3.4,52,300
Ravi Chinese,Chinese,2.9,5,350
Hotel Jai Kamal,Fast Food,3.2,18,400
The Food Lab,"Fast Food, Healthy Food, Chinese",3.2,10,600
